,gene,coef,Celltype
590,PMP2,0.335588181655937,OPC
736,SEC23A,0.334875219309019,OPC
410,KHDRBS2,0.33216159550809,OPC
485,MPHOSPH8,0.331733050467101,OPC
56,AMER2,0.331006401352671,OPC
322,FPGT-TNNI3K,0.330135262365168,OPC
60,ANOS1,0.329995901819814,OPC
774,SMAD3,0.329821400639495,OPC
479,MLLT4,0.323039240397841,OPC
20,AC074391.1,0.3204183827309,OPC
141,CCDC186,0.318938206164962,OPC
665,RP11-220I1.1,0.316905852441657,OPC
424,KLHL24,0.316502298712312,OPC
544,NXPE3,0.315931588961706,OPC
70,ARHGAP35,0.314211167104715,OPC
213,CTB-118P15.2,0.308593166458117,OPC
402,KCNH7,0.306563322833383,OPC
466,MEIS1,0.304762696260052,OPC
368,HACL1,0.304537853653479,OPC
748,SFMBT2,0.303849657533253,OPC
785,SORL1,0.303348662621103,OPC
588,PLPP4,0.302437778615393,OPC
483,MOBP,0.299162907601709,OPC
824,TCN2,0.29900728559704,OPC
604,PRKACB,0.29614219425931,OPC
875,UQCRH,0.295224649810503,OPC
138,CCDC146,0.294819927820566,OPC
743,SEMA5B,0.293604118957202,OPC
407,KDM5A,0.287475148362973,OPC
686,RP11-436K8.1,0.28480939900841,OPC
851,TNFSF13B,0.283624511433102,OPC
508,NBPF1,0.280510722534422,OPC
854,TNRC6A,0.279689283900627,OPC
428,KRI1,0.279549622995664,OPC
185,CLSTN1,0.279198745581204,OPC
694,RP11-58B17.1,0.278381037325622,OPC
746,SEPP1,0.277524273320698,OPC
110,BRSK1,0.276896509718475,OPC
614,PTP4A1,0.275458112415223,OPC
117,C19orf66,0.274164060759389,OPC
274,EMC2,0.273430410935321,OPC
540,NT5C2,0.273150681220868,OPC
76,ASH2L,0.272400444145797,OPC
355,GRB2,0.269807595322876,OPC
733,SCP2,0.268975457289375,OPC
283,ERBB4,0.268329983552957,OPC
735,SDHA,0.264482022371948,OPC
647,RP1-146A15.1,0.264113354102759,OPC
180,CLASRP,0.262171406672424,OPC
943,TVP23C,0.259938235042128,OPC
482,MMP2,0.257649027094409,OPC
481,MMP16,0.257641027570254,OPC
391,ITGA8,0.255487692603301,OPC
929,CXorf28,0.254224285311783,OPC
470,MFSD2B,0.253795672416607,OPC
176,CHST3,0.253401245500615,OPC
669,RP11-30C8.2,0.251198251974523,OPC
342,GIPC1,0.250755919578857,OPC
497,MUM1,0.250053898188591,OPC
323,FREM1,0.250014844923484,OPC
732,SASH1,0.246626484395808,OPC
190,COL4A3,0.245343256932759,OPC
802,STIM1,0.244643889554251,OPC
228,CTD-2230D16.1,0.24426507869312,OPC
862,TRPC1,0.244197943526435,OPC
137,CCDC14,0.244141139015091,OPC
134,CAPZA1,0.243974515692092,OPC
626,RALYL,0.243678465580739,OPC
912,ZMYND8,0.240372098344211,OPC
214,CTB-131B5.5,0.239637854892513,OPC
496,MTCP1,0.239357522847248,OPC
753,SH3RF3,0.238927567381336,OPC
840,TMEM198B,0.234389498203033,OPC
904,ZDHHC14,0.234332009561742,OPC
86,ATP13A3,0.230815809127796,OPC
770,SLC8A2,0.229666100089892,OPC
44,ADORA1,0.226651950726792,OPC
67,ARHGAP18,0.22194998825246,OPC
615,PTP4A2,0.221754832210206,OPC
807,SULF2,0.221579254235895,OPC
592,PNISR,0.214962959328255,OPC
725,RRAS2,0.214612182919125,OPC
798,SSFA2,0.21400203891765,OPC
628,RAPGEF2,0.213201522847758,OPC
492,MT-ATP6,0.212315788159135,OPC
233,CXXC5,0.211275775684148,OPC
894,WWP2,0.210392554083116,OPC
462,MCL1,0.209479650319388,OPC
631,RASSF4,0.208208486704913,OPC
362,GS1-114I9.3,0.207245898401381,OPC
566,PDE3B,0.205849151459417,OPC
452,LTBP1,0.197721523269257,OPC
122,C5orf17,0.19723900008889,OPC
707,RP11-776H12.1,0.194433970109157,OPC
120,C1orf61,0.193545591508395,OPC
650,RP11-103J8.1,0.191751694685866,OPC
390,IQSEC2,0.191705779517657,OPC
779,SMIM2-AS1,0.186284682636252,OPC
455,MAML3,0.185749458242507,OPC
140,CCDC175,0.183801348503744,OPC
422,KLHL1,0.182287845344122,OPC
38,ADCK1,0.178014816334429,OPC
661,RP11-179A16.1,0.177133442779576,OPC
571,PDZRN4,0.175721692609269,OPC
687,RP11-460M2.1,0.173650223734022,OPC
677,RP11-384E5.2,0.172520726262934,OPC
720,RPH3A,0.170768098127603,OPC
581,PIP5K1B,0.16959211813423,OPC
270,EGFR,0.167689827567796,OPC
722,RPL18,0.16662659262087,OPC
504,NAT8L,0.163499570664997,OPC
430,KYNU,0.163206437145967,OPC
870,TXNIP,0.158882514787054,OPC
