gene,coef,Celltype
ITGA8,0.255487693,OPC
CXorf28,0.254224285,OPC
MFSD2B,0.253795672,OPC
CHST3,0.253401246,OPC
RP11-30C8.2,0.251198252,OPC
GIPC1,0.25075592,OPC
MUM1,0.250053898,OPC
FREM1,0.250014845,OPC
SASH1,0.246626484,OPC
COL4A3,0.245343257,OPC
STIM1,0.24464389,OPC
CTD-2230D16.1,0.244265079,OPC
TRPC1,0.244197944,OPC
CCDC14,0.244141139,OPC
CAPZA1,0.243974516,OPC
RALYL,0.243678466,OPC
ZMYND8,0.240372098,OPC
CTB-131B5.5,0.239637855,OPC
MTCP1,0.239357523,OPC
SH3RF3,0.238927567,OPC
TMEM198B,0.234389498,OPC
ZDHHC14,0.23433201,OPC
ATP13A3,0.230815809,OPC
SLC8A2,0.2296661,OPC
ADORA1,0.226651951,OPC
ARHGAP18,0.221949988,OPC
PTP4A2,0.221754832,OPC
SULF2,0.221579254,OPC
PNISR,0.214962959,OPC
RRAS2,0.214612183,OPC
SSFA2,0.214002039,OPC
RAPGEF2,0.213201523,OPC
MT-ATP6,0.212315788,OPC
CXXC5,0.211275776,OPC
WWP2,0.210392554,OPC
MCL1,0.20947965,OPC
RASSF4,0.208208487,OPC
GS1-114I9.3,0.207245898,OPC
PDE3B,0.205849151,OPC
LTBP1,0.197721523,OPC
C5orf17,0.197239,OPC
RP11-776H12.1,0.19443397,OPC
C1orf61,0.193545592,OPC
RP11-103J8.1,0.191751695,OPC
IQSEC2,0.19170578,OPC
SMIM2-AS1,0.186284683,OPC
MAML3,0.185749458,OPC
CCDC175,0.183801349,OPC
KLHL1,0.182287845,OPC
ADCK1,0.178014816,OPC
RP11-179A16.1,0.177133443,OPC
PDZRN4,0.175721693,OPC
RP11-460M2.1,0.173650224,OPC
RP11-384E5.2,0.172520726,OPC
RPH3A,0.170768098,OPC
PIP5K1B,0.169592118,OPC
EGFR,0.167689828,OPC
RPL18,0.166626593,OPC
NAT8L,0.163499571,OPC
KYNU,0.163206437,OPC
TXNIP,0.158882515,OPC
SHANK2,0.1585066,OPC
IQCJ-SCHIP1,0.156719849,OPC
ADGRG1,0.154757789,OPC
VPS45,0.154035395,OPC
MERTK,0.153521935,OPC
MAF,0.153194831,OPC
RP11-308N19.1,0.153040686,OPC
MGAT4A,0.151580747,OPC
SPRED1,-0.15157209,OPC
CREB1,-0.154055628,OPC
ATP2B1,-0.156105236,OPC
NDRG3,-0.156165374,OPC
PDE4B,-0.158534033,OPC
RP11-345J4.8,-0.159257813,OPC
WDR17,-0.162840082,OPC
CACNG5,-0.167435351,OPC
HIF3A,-0.167688491,OPC
LHPP,-0.167802838,OPC
RUNDC3B,-0.168081567,OPC
RNF180,-0.169152028,OPC
PTPRM,-0.169949286,OPC
TLE1,-0.170600983,OPC
CACNA1A,-0.170869821,OPC
GSG1L,-0.171605974,OPC
TTC39B,-0.173174931,OPC
GBF1,-0.17383653,OPC
ADRA1A,-0.17466341,OPC
ARAP2,-0.17483863,OPC
GINS3,-0.175829628,OPC
RP11-278H7.1,-0.17624645,OPC
LRAT,-0.176446637,OPC
TSPAN7,-0.176590697,OPC
PHF6,-0.177457433,OPC
PRDX4,-0.179874167,OPC
RPAP1,-0.181725361,OPC
CD47,-0.182262481,OPC
SUGP2,-0.182339745,OPC
AGAP6,-0.182702138,OPC
RAB31,-0.183263565,OPC
SLU7,-0.183310584,OPC
MDFI,-0.18341931,OPC
FANCC,-0.183851642,OPC
BRD8,-0.185046308,OPC
KCNMA1,-0.186154975,OPC
CPEB4,-0.188727276,OPC
FBN2,-0.191438092,OPC
RP11-384J4.2,-0.19324809,OPC
GALR1,-0.195909533,OPC
ROBO2,-0.196648322,OPC
PPM1L,-0.19684313,OPC
RP11-397E7.6,-0.196989519,OPC
BEST3,-0.19844746,OPC
ADAMTS17,-0.198885282,OPC
CENPP,-0.19899656,OPC
LBR,-0.199506699,OPC
FSD2,-0.201070892,OPC
ANKHD1,-0.201847562,OPC
GRB10,-0.20374445,OPC
SYNE2,-0.207682209,OPC
SMAD5,-0.220289458,OPC
NEDD4,-0.221313167,OPC
ASPM,-0.221329819,OPC
NEK10,-0.221690678,OPC
CSGALNACT1,-0.222176735,OPC
UTP23,-0.222400628,OPC
OSBP2,-0.22260279,OPC
ADAM33,-0.222653309,OPC
PEG10,-0.223932166,OPC
CHST8,-0.224228096,OPC
RNF24,-0.226146994,OPC
ALDH1L1,-0.227396784,OPC
GNAO1,-0.23706831,OPC
REV3L,-0.237571435,OPC
RASGEF1B,-0.238567004,OPC
BAZ1A,-0.244934885,OPC
TNS3,-0.245727907,OPC
ACSL3,-0.246568806,OPC
MIR100HG,-0.246914099,OPC
EPB41L2,-0.24983317,OPC
TNKS,-0.251467609,OPC
FAM111A,-0.252299066,OPC
CRTAC1,-0.253778158,OPC
AARS,-0.253958534,OPC
CHAMP1,-0.259832703,OPC
SGCB,-0.260605673,OPC
EPS8,-0.260919423,OPC
BMPR1B,-0.261855209,OPC
PTPRJ,-0.262359584,OPC
TPCN2,-0.268992585,OPC
NEK5,-0.270638513,OPC
ADAMTS6,-0.271999564,OPC
ZNF469,-0.272027955,OPC
TMTC2,-0.274683681,OPC
FNDC3B,-0.278903247,OPC
SOX11,-0.279221261,OPC
EZH2,-0.279812806,OPC
DTNA,-0.284781793,OPC
FGF14,-0.286793422,OPC
ABCC8,-0.289476151,OPC
NCOR2,-0.293685247,OPC
RP11-293N1.1,-0.294982668,OPC
MGLL,-0.29691934,OPC
PAK1,-0.296940858,OPC
TLE2,-0.297396858,OPC
SYTL4,-0.297581952,OPC
NFATC2IP,-0.29868256,OPC
AJAP1,-0.308144248,OPC
TCF7L2,-0.308842427,OPC
GABRB2,-0.313601634,OPC
MIR99AHG,-0.314620897,OPC
PCNT,-0.31479082,OPC
PTAFR,-0.316175877,OPC
MAP7,-0.319517976,OPC
ARHGAP24,-0.323021044,OPC
HERC6,-0.323497312,OPC
NAALADL2,-0.328952638,OPC
SLC19A2,-0.329620537,OPC
CA1,-0.332900418,OPC
CCDC25,-0.335378803,OPC
RFX3,-0.336895378,OPC
TMEM214,-0.336987074,OPC
LRRC1,-0.344038666,OPC
BIRC2,-0.347563067,OPC
AC074363.1,-0.349118759,OPC
EPHA6,-0.350908341,OPC
ADD3,-0.351781647,OPC
KCND3,-0.351985708,OPC
CADM1,-0.357438471,OPC
ZNF148,-0.359536358,OPC
KDM4C,-0.361113984,OPC
MAP4K3,-0.361173417,OPC
GBP3,-0.364511619,OPC
RP11-1078H9.5,-0.369507699,OPC
ZNF804A,-0.371749833,OPC
GRIN2D,-0.373930359,OPC
CDK8,-0.374385783,OPC
CNTN6,-0.375488277,OPC
PACRG,-0.377928181,OPC
SPECC1,-0.379663895,OPC
LARGE,-0.380376226,OPC
AC093734.11,-0.380591704,OPC
FLRT2,-0.386168129,OPC
AGPAT4,-0.387272221,OPC
PDPK1,-0.388469353,OPC
SLC9A1,-0.388920319,OPC
CTD-2335A18.1,-0.390786259,OPC
SEL1L3,-0.391243521,OPC
SHISA9,-0.392612436,OPC
AC079610.1,-0.393206688,OPC
JPX,-0.396017654,OPC
TIMM50,-0.396228021,OPC
ATE1,-0.396552392,OPC
TTLL6,-0.39972757,OPC
KLHDC2,-0.406181665,OPC
ASAP1,-0.410225988,OPC
CPNE5,-0.410745982,OPC
SLC24A3,-0.411176469,OPC
SESN3,-0.4122043,OPC
COLGALT2,-0.41252842,OPC
FAM133A,-0.414137438,OPC
C6orf120,-0.415945604,OPC
RP11-473M20.7,-0.41649092,OPC
ATP13A4,-0.417154133,OPC
TAF3,-0.417163985,OPC
C15orf41,-0.417835967,OPC
TENM3,-0.418168501,OPC
SLC25A36,-0.418205097,OPC
GAD1,-0.41908021,OPC
IFNGR1,-0.421124384,OPC
BACE1,-0.42136745,OPC
EPHB2,-0.424065664,OPC
KCNQ5,-0.424421691,OPC
CYB5B,-0.438471802,OPC
PC,-0.441174531,OPC
ZNF202,-0.44150458,OPC
VCAN,-0.442352675,OPC
C18orf54,-0.443884519,OPC
KIF5B,-0.44616027,OPC
BAZ2B,-0.447287017,OPC
GRIP1,-0.447829373,OPC
CCDC28A,-0.449400197,OPC
GPR17,-0.450485699,OPC
RAB20,-0.453152253,OPC
INTS10,-0.453492018,OPC
SUZ12P,-0.458860508,OPC
TEK,-0.462429191,OPC
GULP1,-0.462705431,OPC
ADCY2,-0.465935048,OPC
NBN,-0.47384918,OPC
ACAT1,-0.475201213,OPC
PCDH7,-0.47856978,OPC
TPD52L1,-0.480238688,OPC
TMCC3,-0.480717809,OPC
ATP2C2,-0.481035108,OPC
SORBS1,-0.481385069,OPC
CLDN11,-0.482944113,OPC
KIAA1217,-0.484759419,OPC
ZFAND4,-0.485495604,OPC
ZFYVE16,-0.486120199,OPC
LINC00461,-0.491756942,OPC
CSPG4,-0.492486898,OPC
SLC35F1,-0.501284554,OPC
TCF7L1,-0.503502764,OPC
TRIM67,-0.505368443,OPC
PDE1C,-0.510954602,OPC
TMEM237,-0.514550786,OPC
SRGAP3,-0.515961947,OPC
ZER1,-0.516879935,OPC
FRMD5,-0.518607702,OPC
DGKG,-0.522068169,OPC
RP11-159F24.1,-0.524426732,OPC
ZNF283,-0.525151717,OPC
NEAT1,-0.526445678,OPC
CTD-2066L21.3,-0.527817663,OPC
PSEN2,-0.530834708,OPC
DKK3,-0.534093488,OPC
DNAJC21,-0.539830236,OPC
AC005752.10,-0.546705092,OPC
IGSF11,-0.547288734,OPC
TSC22D1,-0.547510298,OPC
MB21D2,-0.547874961,OPC
UTRN,-0.548602601,OPC
VIPR2,-0.549529009,OPC
SPOCK3,-0.554706335,OPC
RP11-761I4.3,-0.557117975,OPC
C7orf60,-0.55984317,OPC
DDX60L,-0.56220157,OPC
ARHGAP21,-0.564931416,OPC
XPR1,-0.566689163,OPC
HK1,-0.568960273,OPC
CUL4B,-0.571982341,OPC
RAI14,-0.572207913,OPC
LRP1B,-0.57427566,OPC
CDK18,-0.576512064,OPC
ADAM28,-0.578810584,OPC
TMEM232,-0.580042253,OPC
GALNT14,-0.587010956,OPC
MED20,-0.588656863,OPC
MIPOL1,-0.591544948,OPC
AFF3,-0.593625545,OPC
PDK1,-0.594262938,OPC
BLOC1S6,-0.59766849,OPC
ENPP6,-0.600612996,OPC
DGKB,-0.606412457,OPC
CFAP161,-0.610575275,OPC
MEIS2,-0.615558726,OPC
SLC9B1,-0.616610414,OPC
EGR1,-0.617567311,OPC
SEMA3C,-0.621789227,OPC
SPARCL1,-0.623462889,OPC
INPP4B,-0.62504379,OPC
CHL1,-0.631266161,OPC
NLK,-0.637100338,OPC
ARL15,-0.637603523,OPC
RP11-381K20.2,-0.637645205,OPC
CLSTN2,-0.637862589,OPC
CLCN7,-0.640214847,OPC
RAB10,-0.646291732,OPC
NFIA,-0.64906403,OPC
CH17-189H20.1,-0.652034937,OPC
HSP90B1,-0.653847508,OPC
USP28,-0.662286179,OPC
PPFIBP1,-0.663013645,OPC
CEP250,-0.673335763,OPC
IQSEC1,-0.675645874,OPC
RP11-551L14.5,-0.681655779,OPC
TMEM132B,-0.684811106,OPC
PRPSAP1,-0.686755558,OPC
FOS,-0.688625205,OPC
RP11-368L12.1,-0.688819269,OPC
RP1-158P9.2,-0.691907267,OPC
DYNC2H1,-0.694053757,OPC
NCKAP1,-0.701724757,OPC
CENPJ,-0.705982564,OPC
TPM1,-0.70676599,OPC
RHBDL3,-0.709697437,OPC
TMEM200C,-0.718533606,OPC
LIMD1,-0.719648332,OPC
CCDC60,-0.721961325,OPC
SPEN,-0.724708377,OPC
RP5-1070A16.1,-0.72489227,OPC
NBPF11,-0.725114858,OPC
FAM104B,-0.725511931,OPC
PRUNE2,-0.72748311,OPC
ACADL,-0.728340642,OPC
CEP104,-0.738234506,OPC
TSHZ2,-0.740416365,OPC
