"","V1"
"418","ENTPD1"
"419","EP300"
"420","EPB41L2"
"421","EPSTI1"
"422","ERBB4"
"423","ERC2"
"424","ERCC6"
"425","ERMP1"
"426","ERO1A"
"427","ERV3-1"
"428","ERVK3-1"
"429","ESRRG"
"430","ETS2"
"431","ETV3"
"432","ETV6"
"433","EXOSC10"
"434","EXTL2"
"435","EYA3"
"436","EYS"
"437","EZH2"
"438","EZR"
"439","F13A1"
"440","FADS1"
"441","FAM102B"
"442","FAM118A"
"443","FAM122A"
"444","FAM129A"
"445","FAM133B"
"446","FAM135B"
"447","FAM13A"
"448","FAM149A"
"449","FAM160B2"
"450","FAM168A"
"451","FAM169A"
"452","FAM19A1"
"453","FAM200B"
"454","FAM214B"
"455","FAM234A"
"456","FAM46A"
"457","FAM53C"
"458","FAM65C"
"459","FAM78B"
"460","FAM96A"
"461","FAM98B"
"462","FAM98C"
"463","FANCA"
"464","FANCI"
"465","FANCL"
"466","FAR2"
"467","FAT2"
"468","FAT4"
"469","FAU"
"470","FBN2"
"471","FBXL18"
"472","FBXL4"
"473","FBXO11"
"474","FBXO38"
"475","FBXO44"
"476","FCHSD2"
"477","FEM1A"
"478","FER"
"479","FERMT1"
"480","FEZ2"
"481","FGD2"
"482","FGD4"
"483","FGD6"
"484","FHL3"
"485","FIS1"
"486","FKBP15"
"487","FKBP5"
"488","FKBP8"
"489","FLAD1"
"490","FLT1"
"491","FMN1"
"492","FMNL3"
"493","FMO3"
"494","FMO4"
"495","FNDC1"
"496","FNDC5"
"497","FNIP2"
"498","FOLH1"
"499","FOS"
"500","FOSB"
"501","FOXM1"
"502","FOXO3"
"503","FOXP1"
"504","FOXP2"
"505","FPGS"
"506","FREM1"
"507","FRG1HP"
"508","FRMD4A"
"509","FRMD4B"
"510","FRMD6"
"511","FRRS1"
"512","FRZB"
"513","FSCN1"
"514","FTL"
"515","FUCA1"
"516","FUT4"
"517","FUT8"
"518","FXYD6"
"519","FYB1"
"520","FZD7"
"521","GAB1"
"522","GABPB1-AS1"
"523","GABRQ"
"524","GALNT2"
"525","GARNL3"
"526","GAS6"
"527","GAS7"
"528","GATAD1"
"529","GBE1"
"530","GDI2"
"531","GDPD1"
"532","GEM"
"533","GEMIN2"
"534","GFAP"
"535","GFOD2"
"536","GGTA1P"
"537","GINS3"
"538","GLCE"
"539","GLDN"
"540","GLI2"
"541","GLIDR"
"542","GLIPR2"
"543","GLRA3"
"544","GLS"
"545","GLT1D1"
"546","GMEB1"
"547","GMFG"
"548","GNAO1"
"549","GNAQ"
"550","GNG7"
"551","GOLGA1"
"552","GOLGB1"
"553","GORAB"
"554","GPC5"
"555","GPCPD1"
"556","GPR155"
"557","GPR35"
"558","GPR68"
"559","GPRASP2"
"560","GPS2"
"561","GRID2"
"562","GRIK1"
"563","GRPEL1"
"564","GRPEL2"
"565","GSK3B"
"566","GSN"
"567","GSTP1"
"568","GTF2B"
"569","GTF2IRD1"
"570","GTF3C4"
"571","GULP1"
"572","H3F3B"
"573","HARS2"
"574","HCK"
"575","HCLS1"
"576","HDAC4"
"577","HDAC8"
"578","HDAC9"
"579","HDDC2"
"580","HEATR1"
"581","HECW1"
"582","HERC2P3"
"583","HERPUD1"
"584","HEXIM1"
"585","HHATL"
"586","HIF1A"
"587","HIP1"
"588","HIST1H2AC"
"589","HIST1H2BG"
"590","HIST1H4E"
"591","HIVEP2"
"592","HIVEP3"
"593","HLF"
"594","HMGCR"
"595","HNRNPA2B1"
"596","HNRNPC"
"597","HNRNPDL"
"598","HNRNPU"
"599","HP1BP3"
"600","HPGDS"
"601","HPS3"
"602","HRH2"
"603","HS3ST4"
"604","HS3ST5"
"605","HS6ST3"
"606","HSP90AA1"
"607","HSPA2"
"608","HSPD1"
"609","HSPH1"
"610","HTR2C"
"611","HTRA1"
"612","HVCN1"
"613","ID2"
"614","IDH3G"
"615","IDI1"
"616","IDNK"
"617","IFI44"
"618","IFI44L"
"619","IFITM3"
"620","IFNGR1"
"621","IFT46"
"622","IGSF21"
"623","IKZF2"
"624","IL11RA"
"625","IL15"
"626","IL17RA"
"627","IL1RAPL1"
"628","IMMT"
"629","IMPAD1"
"630","INAFM2"
"631","INPP5A"
"632","INSIG1"
"633","INSR"
"634","INTS13"
"635","IPCEF1"
"636","IQSEC2"
"637","IRAK2"
"638","IRAK3"
"639","IRGM"
"640","IRS2"
"641","ISPD"
"642","ITGA3"
"643","ITGA5"
"644","ITGA9"
"645","ITGAM"
"646","ITGAX"
"647","ITGB5"
"648","ITM2A"
"649","ITM2B"
"650","ITM2C"
"651","ITPR1"
"652","ITPR2"
"653","ITSN1"
"654","IVD"
"655","JAG1"
"656","JAK1"
"657","JAZF1"
"658","JDP2"
"659","JKAMP"
"660","JUN"
"661","KALP"
"662","KAT6A"
"663","KB-1507C5.4"
"664","KCNE3"
"665","KCNIP1"
"666","KCNK13"
"667","KCNK6"
"668","KCNK9"
"669","KCNMA1"
"670","KCNMB1"
"671","KCNQ1OT1"
"672","KCNQ3"
"673","KCNQ4"
"674","KCTD16"
"675","KCTD6"
"676","KCTD9P1"
"677","KDELR1"
"678","KDM3A"
"679","KDM5D"
"680","KHDRBS3"
"681","KIAA0226L"
"682","KIF11"
"683","KIF16B"
"684","KIF1BP"
"685","KIF22"
"686","KITLG"
"687","KLF4"
"688","KLF6"
"689","KLF7"
"690","KLHL13"
"691","KLHL24"
"692","KLHL29"
"693","KLHL6"
"694","KLHL8"
"695","KMT2E"
"696","KPNB1"
"697","KRAS"
"698","KRTCAP2"
"699","KSR2"
"700","L3MBTL4"
"701","LAMC3"
"702","LAMTOR4"
"703","LAPTM4A"
"704","LAPTM5"
"705","LARP6"
"706","LAT2"
"707","LBR"
"708","LCORL"
"709","LCP2"
"710","LDB1"
"711","LDB3"
"712","LDLRAD4"
"713","LEKR1"
"714","LEPR"
"715","LGMN"
"716","LHFPL2"
"717","LIMCH1"
"718","LIMS1"
"719","LIN28A"
"720","LINC00173"
"721","LINC00271"
"722","LINC00340"
"723","LINC00506"
"724","LLGL1"
"725","LLNLF-187D8.1"
"726","LLNLF-96A1.1"
"727","LMBRD1"
"728","LMLN"
"729","LMO1"
